,Player_x,salary,first_name,last_name,Player_y,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,Stephen Curry,51411079.0,stephen,curry,Stephen Curry,GSW,35,18,9,9,33.4,29.1,8.9,18.8,47.6,5.1,11.7,43.1,6.1,6.6,93.2,0.8,4.2,5.0,4.7,3.6,0.7,0.2,1.8,41.3,2.0,0.0,-0.6
1,James Harden,49760158.0,james,harden,James Harden,LAC,34,14,6,8,33.7,15.7,4.8,10.4,46.2,2.4,6.1,40.0,3.7,4.4,85.2,0.4,4.1,4.4,6.4,2.1,1.6,0.4,2.1,34.5,1.0,0.0,-0.1
2,Russell Westbrook,49648204.0,russell,westbrook,Russell Westbrook,LAC,35,19,9,10,26.7,12.0,4.7,10.9,43.5,0.7,2.7,27.5,1.8,2.8,63.0,1.5,5.1,6.6,5.3,2.3,1.3,0.3,2.4,30.4,4.0,0.0,-0.2
3,Kevin Durant,47186357.0,kevin,durant,Kevin Durant,PHX,35,18,10,8,36.6,31.0,10.6,20.6,51.2,2.2,4.5,49.4,7.7,8.6,89.6,0.3,6.2,6.4,5.8,3.6,0.8,1.2,1.8,49.8,4.0,0.0,4.3
4,LeBron James,46244900.0,lebron,james,LeBron James,LAL,38,20,11,9,33.5,24.4,9.2,16.6,55.1,2.2,5.8,38.3,3.9,5.7,69.0,0.8,6.8,7.6,6.4,3.7,1.4,0.8,1.1,45.7,5.0,1.0,4.2
5,Paul George,44183589.0,paul,george,Paul George,LAC,33,19,9,10,35.6,23.5,8.1,18.2,44.3,3.2,8.4,38.1,4.2,4.5,92.9,0.6,5.2,5.8,4.3,2.4,1.6,0.2,3.0,39.8,1.0,0.0,5.6
6,Kawhi Leonard,44183510.0,kawhi,leonard,Kawhi Leonard,LAC,32,19,9,10,34.4,21.8,8.2,17.1,47.8,2.2,5.5,39.4,3.3,4.0,82.9,0.9,5.1,6.0,3.4,1.5,1.6,0.7,1.6,39.5,0.0,0.0,5.9
7,Giannis Antetokounmpo,44183510.0,giannis,antetokounmpo,Giannis Antetokounmpo,MIL,28,19,13,6,34.3,29.9,11.5,19.0,60.7,0.4,1.8,22.9,6.5,9.9,65.4,2.8,8.0,10.8,4.9,4.2,1.4,1.4,3.1,54.4,13.0,1.0,3.0
8,Damian Lillard,44183510.0,damian,lillard,Damian Lillard,MIL,33,18,14,4,35.0,25.5,7.3,17.1,42.9,2.8,8.4,33.6,8.0,8.7,92.3,0.7,3.8,4.6,6.9,2.8,1.1,0.1,1.4,42.1,4.0,0.0,2.3
9,Klay Thompson,42651564.0,klay,thompson,Klay Thompson,GSW,33,19,8,11,29.9,15.7,5.4,13.4,40.6,2.8,7.7,36.1,2.1,2.4,87.0,0.6,3.2,3.8,2.3,2.0,0.4,0.6,2.3,24.7,0.0,0.0,-1.2
10,Jimmy Butler,40445449.0,jimmy,butler,Jimmy Butler,MIA,34,16,10,6,33.8,22.4,6.9,14.8,46.8,1.1,2.7,39.5,7.5,8.4,88.9,2.1,3.3,5.4,4.0,1.8,1.2,0.5,0.8,38.2,2.0,0.0,3.6
11,Tobias Harris,40422708.0,tobias,harris,Tobias Harris,PHI,31,19,12,7,35.2,18.0,6.8,13.3,51.6,1.1,3.3,32.3,3.3,3.7,88.6,0.9,5.2,6.1,2.7,1.9,0.9,0.3,1.6,31.1,2.0,0.0,3.4
12,Khris Middleton,39865767.0,khris,middleton,Khris Middleton,MIL,32,16,11,5,20.8,11.8,4.5,9.8,46.2,1.3,3.8,32.8,1.6,2.0,78.1,0.7,3.5,4.2,3.9,1.6,0.8,0.1,1.9,23.5,0.0,0.0,4.3
13,Anthony Davis,39710077.0,anthony,davis,Anthony Davis,LAL,30,20,12,8,35.1,22.9,8.6,15.8,54.6,0.2,0.6,27.3,5.5,6.6,84.0,3.3,9.2,12.5,3.3,2.1,1.1,2.8,2.9,52.1,17.0,0.0,1.1
14,Rudy Gobert,39691512.0,rudy,gobert,Rudy Gobert,MIN,31,19,15,4,32.7,13.3,4.9,8.2,60.3,0.0,0.0,0.0,3.4,5.5,61.5,3.6,8.0,11.6,1.1,1.6,0.6,2.4,2.8,36.1,14.0,0.0,5.3
15,Kyrie Irving,39673400.0,kyrie,irving,Kyrie Irving,DAL,31,15,8,7,33.3,23.6,8.7,19.2,45.5,2.6,7.0,37.1,3.5,3.9,89.8,0.7,3.5,4.1,5.5,1.5,1.1,0.3,1.9,39.5,2.0,0.0,0.9
16,Bradley Beal,37871580.0,bradley,beal,Bradley Beal,PHX,30,3,1,2,28.5,17.3,6.0,15.3,39.1,1.7,5.0,33.3,3.7,5.3,68.8,1.0,4.3,5.3,3.7,3.0,0.7,0.3,3.0,29.2,0.0,0.0,-5.3
17,Ben Simmons,37062738.0,ben,simmons,Ben Simmons,BKN,27,6,3,3,31.8,6.5,3.2,6.0,52.8,0.0,0.0,0.0,0.2,0.7,25.0,2.7,8.2,10.8,6.7,2.5,0.5,0.8,2.7,31.0,2.0,0.0,-5.5
18,Pascal Siakam,37062738.0,pascal,siakam,Pascal Siakam,TOR,29,20,9,11,34.3,20.0,7.7,16.2,47.7,0.8,4.1,19.8,3.8,5.1,74.5,1.7,5.5,7.2,5.0,2.7,0.8,0.2,2.3,36.2,4.0,0.0,1.9
19,Karl-Anthony Towns,35542970.0,karl-anthony,towns,Karl-Anthony Towns,MIN,28,19,15,4,33.5,22.2,8.1,16.1,50.3,2.2,5.2,41.8,3.8,4.2,91.1,1.1,7.9,9.0,3.1,2.9,0.9,0.7,3.4,39.7,10.0,0.0,6.8
20,Devin Booker,35542970.0,devin,booker,Devin Booker,PHX,27,11,9,2,34.2,27.9,9.1,19.3,47.2,2.1,5.3,39.7,7.6,8.2,93.3,1.0,4.8,5.8,8.4,2.9,0.7,0.5,2.9,48.1,5.0,0.0,8.4
21,Kristaps Porzingis,35542970.0,kristaps,porzingis,Kristaps Porzingis,BOS,28,15,11,4,30.2,18.9,6.5,11.9,54.7,1.6,4.9,32.4,4.3,5.3,80.0,1.5,5.2,6.7,1.9,1.3,0.7,1.7,3.4,35.5,1.0,0.0,6.9
22,Andrew Wiggins,35463003.0,andrew,wiggins,Andrew Wiggins,GSW,28,18,8,10,27.2,12.8,5.1,11.7,43.3,0.9,3.3,26.7,1.8,3.0,59.3,1.9,2.4,4.4,1.2,1.8,0.3,0.4,2.6,20.2,1.0,0.0,-4.8
23,Joel Embiid,35463003.0,joel,embiid,Joel Embiid,PHI,29,16,12,4,34.5,32.0,10.3,20.7,49.8,1.1,3.4,31.5,10.3,11.8,87.8,3.3,8.0,11.3,6.6,3.7,1.0,1.9,3.0,60.4,12.0,1.0,6.1
24,Kevin Love,35102376.0,kevin,love,Kevin Love,MIA,35,14,7,7,17.7,7.9,2.4,6.1,38.8,1.4,4.3,33.3,1.7,2.1,82.8,1.1,5.4,6.5,2.5,0.6,0.1,0.0,1.9,19.3,1.0,0.0,3.4
25,Jrue Holiday,35004763.0,jrue,holiday,Jrue Holiday,BOS,33,17,14,3,34.5,12.4,4.7,11.1,42.6,1.8,4.6,38.5,1.2,1.5,80.8,1.8,5.4,7.2,5.2,2.2,0.6,0.9,1.7,31.2,5.0,0.0,8.4
26,Nikola Jokic,34862788.0,nikola,jokic,Nikola Jokic,DEN,28,20,13,7,34.0,29.0,11.4,20.0,56.8,1.3,4.2,30.1,5.0,6.4,78.1,3.3,9.5,12.8,9.8,2.9,1.2,0.8,2.6,62.1,19.0,8.0,7.9
27,CJ McCollum,34659857.0,cj,mccollum,CJ McCollum,NOP,32,8,6,2,34.0,21.1,7.4,16.8,44.0,2.9,8.3,34.8,3.5,4.5,77.8,0.9,3.6,4.5,5.9,1.4,1.6,0.9,2.3,41.5,1.0,0.0,1.6
28,Chris Paul,34587764.0,chris,paul,Chris Paul,GSW,38,18,8,10,26.8,8.9,3.2,7.9,39.9,1.2,3.6,32.8,1.4,1.6,92.9,0.3,3.3,3.6,7.3,1.1,1.5,0.1,1.6,27.8,3.0,0.0,2.8
29,D'Angelo Russell,33704540.0,d'angelo,russell,D'Angelo Russell,LAL,27,21,12,9,30.9,17.1,6.4,13.2,48.7,2.2,5.5,40.9,2.0,2.6,78.2,0.4,3.0,3.4,6.6,1.8,0.8,0.6,2.0,33.4,2.0,0.0,2.2
30,Gordon Hayward,33605157.0,gordon,hayward,Gordon Hayward,CHA,33,17,6,11,32.3,14.0,5.4,12.4,43.3,0.9,2.5,34.9,2.4,3.2,74.5,1.1,4.0,5.1,4.6,1.8,1.2,0.5,1.8,30.1,0.0,0.0,-5.5
31,Jamal Murray,33091731.0,jamal,murray,Jamal Murray,DEN,26,8,7,1,29.8,16.3,5.8,13.9,41.4,2.1,5.0,42.5,2.6,3.0,87.5,0.4,2.6,3.0,7.3,2.0,0.3,0.6,1.9,31.4,2.0,0.0,3.1
32,Brandon Ingram,33091731.0,brandon,ingram,Brandon Ingram,NOP,26,18,9,9,34.0,23.4,9.2,18.5,49.8,1.2,4.2,28.9,3.7,4.8,77.9,0.5,4.7,5.2,5.3,2.6,0.8,0.2,2.1,37.7,0.0,0.0,1.2
33,Jayson Tatum,31559650.0,jayson,tatum,Jayson Tatum,BOS,25,19,15,4,36.5,27.4,9.5,19.1,49.9,3.1,8.6,36.2,5.2,6.5,80.5,0.7,8.0,8.7,4.1,3.4,1.1,0.4,2.2,44.9,7.0,0.0,8.5
34,Bam Adebayo,31559650.0,bam,adebayo,Bam Adebayo,MIA,26,16,10,6,33.5,22.3,8.3,15.8,52.2,0.1,0.2,33.3,5.7,7.0,81.3,2.1,7.9,9.9,3.9,2.4,1.2,1.0,2.4,44.1,10.0,1.0,-0.9
35,De'Aaron Fox,31559650.0,de'aaron,fox,De'Aaron Fox,SAC,25,13,9,4,36.3,30.3,10.8,22.2,48.6,3.1,8.3,37.0,5.7,7.8,73.3,1.0,3.7,4.7,6.6,2.0,1.6,0.4,2.8,49.9,2.0,0.0,4.2
36,Donovan Mitchell,31559650.0,donovan,mitchell,Donovan Mitchell,CLE,27,15,8,7,35.5,27.1,9.4,21.0,44.8,2.9,8.3,34.4,5.5,6.0,91.1,1.1,4.3,5.3,5.2,2.5,2.1,0.5,1.9,46.4,1.0,0.0,4.4
37,Al Horford,30320442.0,al,horford,Al Horford,BOS,37,17,14,3,26.2,7.6,2.9,6.1,48.5,1.4,3.8,35.9,0.4,0.4,100.0,1.6,5.0,6.6,2.8,0.9,0.5,1.1,1.9,23.5,0.0,0.0,4.4
38,Kyle Lowry,30302618.0,kyle,lowry,Kyle Lowry,MIA,37,19,10,9,29.3,9.4,3.1,7.0,44.4,2.1,4.7,44.4,1.1,1.2,90.9,0.9,3.3,4.2,4.3,1.3,1.2,0.3,2.8,24.0,1.0,0.0,1.3
39,Jaylen Brown,30049723.0,jaylen,brown,Jaylen Brown,BOS,27,18,14,4,34.5,21.8,8.3,18.4,44.9,2.4,7.0,34.1,2.8,4.0,70.8,0.6,4.4,4.9,3.4,2.4,1.2,0.6,2.8,35.9,0.0,0.0,5.6
40,DeMar DeRozan,29197463.0,demar,derozan,DeMar DeRozan,CHI,34,19,6,13,35.4,21.5,7.6,16.7,45.6,0.9,2.5,37.5,5.3,6.5,81.3,0.9,2.4,3.3,4.9,1.2,0.9,0.8,2.1,36.8,1.0,0.0,-8.4
