,Player_x,salary,first_name,last_name,Player_y,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,Stephen Curry,51915615.0,stephen,curry,Stephen Curry,GSW,35,18,9,9,33.4,29.1,8.9,18.8,47.6,5.1,11.7,43.1,6.1,6.6,93.2,0.8,4.2,5.0,4.7,3.6,0.7,0.2,1.8,41.3,2.0,0.0,-0.6
1,Kevin Durant,47649433.0,kevin,durant,Kevin Durant,PHX,35,18,10,8,36.6,31.0,10.6,20.6,51.2,2.2,4.5,49.4,7.7,8.6,89.6,0.3,6.2,6.4,5.8,3.6,0.8,1.2,1.8,49.8,4.0,0.0,4.3
2,Nikola Jokic,47607350.0,nikola,jokic,Nikola Jokic,DEN,28,20,13,7,34.0,29.0,11.4,20.0,56.8,1.3,4.2,30.1,5.0,6.4,78.1,3.3,9.5,12.8,9.8,2.9,1.2,0.8,2.6,62.1,19.0,8.0,7.9
3,LeBron James,47607350.0,lebron,james,LeBron James,LAL,38,20,11,9,33.5,24.4,9.2,16.6,55.1,2.2,5.8,38.3,3.9,5.7,69.0,0.8,6.8,7.6,6.4,3.7,1.4,0.8,1.1,45.7,5.0,1.0,4.2
4,Joel Embiid,47607350.0,joel,embiid,Joel Embiid,PHI,29,16,12,4,34.5,32.0,10.3,20.7,49.8,1.1,3.4,31.5,10.3,11.8,87.8,3.3,8.0,11.3,6.6,3.7,1.0,1.9,3.0,60.4,12.0,1.0,6.1
5,Bradley Beal,46741590.0,bradley,beal,Bradley Beal,PHX,30,3,1,2,28.5,17.3,6.0,15.3,39.1,1.7,5.0,33.3,3.7,5.3,68.8,1.0,4.3,5.3,3.7,3.0,0.7,0.3,3.0,29.2,0.0,0.0,-5.3
6,Paul George,45640084.0,paul,george,Paul George,LAC,33,19,9,10,35.6,23.5,8.1,18.2,44.3,3.2,8.4,38.1,4.2,4.5,92.9,0.6,5.2,5.8,4.3,2.4,1.6,0.2,3.0,39.8,1.0,0.0,5.6
7,Kawhi Leonard,45640084.0,kawhi,leonard,Kawhi Leonard,LAC,32,19,9,10,34.4,21.8,8.2,17.1,47.8,2.2,5.5,39.4,3.3,4.0,82.9,0.9,5.1,6.0,3.4,1.5,1.6,0.7,1.6,39.5,0.0,0.0,5.9
8,Giannis Antetokounmpo,45640084.0,giannis,antetokounmpo,Giannis Antetokounmpo,MIL,28,19,13,6,34.3,29.9,11.5,19.0,60.7,0.4,1.8,22.9,6.5,9.9,65.4,2.8,8.0,10.8,4.9,4.2,1.4,1.4,3.1,54.4,13.0,1.0,3.0
9,Damian Lillard,45640084.0,damian,lillard,Damian Lillard,MIL,33,18,14,4,35.0,25.5,7.3,17.1,42.9,2.8,8.4,33.6,8.0,8.7,92.3,0.7,3.8,4.6,6.9,2.8,1.1,0.1,1.4,42.1,4.0,0.0,2.3
10,Jimmy Butler,45183960.0,jimmy,butler,Jimmy Butler,MIA,34,16,10,6,33.8,22.4,6.9,14.8,46.8,1.1,2.7,39.5,7.5,8.4,88.9,2.1,3.3,5.4,4.0,1.8,1.2,0.5,0.8,38.2,2.0,0.0,3.6
11,Klay Thompson,43219440.0,klay,thompson,Klay Thompson,GSW,33,19,8,11,29.9,15.7,5.4,13.4,40.6,2.8,7.7,36.1,2.1,2.4,87.0,0.6,3.2,3.8,2.3,2.0,0.4,0.6,2.3,24.7,0.0,0.0,-1.2
12,Rudy Gobert,41000000.0,rudy,gobert,Rudy Gobert,MIN,31,19,15,4,32.7,13.3,4.9,8.2,60.3,0.0,0.0,0.0,3.4,5.5,61.5,3.6,8.0,11.6,1.1,1.6,0.6,2.4,2.8,36.1,14.0,0.0,5.3
13,Fred VanVleet,40806300.0,fred,vanvleet,Fred VanVleet,HOU,29,16,8,8,37.7,16.5,5.6,14.2,39.2,3.1,8.1,37.7,2.3,2.6,90.2,0.3,3.9,4.2,9.1,1.6,0.7,0.4,1.8,36.9,8.0,0.0,3.6
14,Anthony Davis,40600080.0,anthony,davis,Anthony Davis,LAL,30,20,12,8,35.1,22.9,8.6,15.8,54.6,0.2,0.6,27.3,5.5,6.6,84.0,3.3,9.2,12.5,3.3,2.1,1.1,2.8,2.9,52.1,17.0,0.0,1.1
15,Trae Young,40064220.0,trae,young,Trae Young,ATL,25,18,8,10,36.0,27.1,8.1,19.8,40.9,3.1,8.7,35.3,7.8,9.0,86.4,0.7,2.2,2.9,10.7,3.8,1.6,0.0,1.5,47.6,12.0,0.0,0.2
16,Zach LaVine,40064220.0,zach,lavine,Zach LaVine,CHI,28,18,5,13,35.3,21.0,7.3,16.6,44.3,2.4,7.1,33.6,3.9,4.6,86.6,0.3,4.6,4.9,3.4,2.0,0.9,0.2,2.1,33.5,0.0,0.0,-5.4
17,Luka Doncic,40064220.0,luka,doncic,Luka Doncic,DAL,24,18,11,7,35.8,31.4,10.8,22.0,49.0,3.8,9.9,38.8,6.0,7.9,76.1,0.7,7.7,8.4,8.4,3.8,1.3,0.5,1.8,55.8,10.0,3.0,0.6
18,Tobias Harris,39270150.0,tobias,harris,Tobias Harris,PHI,31,19,12,7,35.2,18.0,6.8,13.3,51.6,1.1,3.3,32.3,3.3,3.7,88.6,0.9,5.2,6.1,2.7,1.9,0.9,0.3,1.6,31.1,2.0,0.0,3.4
19,Ben Simmons,37893408.0,ben,simmons,Ben Simmons,BKN,27,6,3,3,31.8,6.5,3.2,6.0,52.8,0.0,0.0,0.0,0.2,0.7,25.0,2.7,8.2,10.8,6.7,2.5,0.5,0.8,2.7,31.0,2.0,0.0,-5.5
